check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.222
check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.222
check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.222
level | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.222
level check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
level check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
level right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
link | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
link check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
link check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
simpl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
simpl link | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
simpl link check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.222
stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.222
stuff level check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
stuff level right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.111
